superstar,stock,client,market,type,action type,Date,avg,count,change,buy count
HDFC Group,Embassy Office Parks REIT,HDFC MUTUAL FUND A/C HTCL - HDFC Flexi Cap Fund,BSE,Bulk,Purchase,12/20/2023,316,6483471,0.0068,8
HDFC Group,Embassy Office Parks REIT,HDFC MUTUAL FUND A/C - HDFC PRUDANCE FUND,BSE,Bulk,Purchase,12/20/2023,316,8077631,0.0085,8
Nomura India Investment Fund Mother Fund,Kalyan Jewellers India Ltd.,THE MASTER TRUST BANK OF JAPAN LIMITED AC NOMURA INDIA INVESTMENT FUND MOTHER FUND,NSE,Bulk,Purchase,2/8/2024,334,13059079,0.0127,8
Goldman Sachs India Limited,Kalyan Jewellers India Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,2/8/2024,334,5847101,0.0057,8
Nomura India Investment Fund Mother Fund,Kalyan Jewellers India Ltd.,THE NOMURA TRUST AND BANKING CO.LTD AS THE TRUSTEE OF NOMURA INDIA STOCK MOTHER FUND,NSE,Block,Purchase,2/8/2024,334,420437,0.0004,8
Citigroup Global Markets Mauritius Private Limited,Kalyan Jewellers India Ltd.,CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD,NSE,Block,Purchase,2/8/2024,334,1230000,0.0012,8
Nomura India Investment Fund Mother Fund,Kalyan Jewellers India Ltd.,THE MASTER TRUST BANK OF JAPAN LIMITED AC NOMURA INDIA INVESTMENT FUND MOTHER FUND,NSE,Block,Purchase,2/8/2024,334,13059079,0.0127,8
Goldman Sachs India Limited,Kalyan Jewellers India Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Block,Purchase,2/8/2024,334,5847101,0.0057,8
SUNDARAM-GROUP,Kalyan Jewellers India Ltd.,SUNDARAM MUTUAL FUND,NSE,Block,Purchase,2/8/2024,334,2694611,0.0026,8
Franklin India Group,Kalyan Jewellers India Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Block,Purchase,2/8/2024,344.2,3063102,0.003,8
