superstar,stock,client,market,type,action type,Date,avg,count,change,buy count
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,3268590,0.0052,14
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,2334706,0.0037,14
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,2179059,0.0035,14
Morgan Stanley Asia (Singapore) Pte.,Nippon Life India Asset Management Ltd.,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,12/20/2023,445.35,225000,0.0004,14
Government Pension Fund Global,Nippon Life India Asset Management Ltd.,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,BSE,Block,Purchase,12/20/2023,445.35,934939,0.0015,14
Kotak Mahindra Group,Nippon Life India Asset Management Ltd.,KOTAK MAHINDRA OLD MUTUAL LIFE INSURANCE LIMITED,BSE,Block,Purchase,12/20/2023,445.35,14302,0,14
Kotak Mahindra Group,Nippon Life India Asset Management Ltd.,KOTAK MAHINDRA OLD MUTUAL LIFE INSURANCE LIMITED,BSE,Block,Purchase,12/20/2023,445.35,210698,0.0003,14
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL LONG SHORT FUND SERIES I,BSE,Block,Purchase,12/20/2023,445.35,225000,0.0004,14
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,BSE,Block,Purchase,12/20/2023,445.35,336813,0.0005,14
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,1123595,0.0018,14
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,4701405,0.0075,14
Birla Group,Pricol Ltd.,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,1/17/2024,343.5,3030000,0.0249,13
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,1/17/2024,343.5,1120000,0.0092,13
SUNDARAM-GROUP,Pricol Ltd.,SUNDARAM ALTERNATIVE OPPORTUNITIES FUND - ACORN,NSE,Block,Purchase,1/17/2024,343.5,300000,0.0025,13
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Block,Purchase,1/17/2024,343.5,875000,0.0072,13
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Block,Purchase,1/17/2024,343.5,1120000,0.0092,13
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Block,Purchase,1/17/2024,343.5,1750000,0.0144,13
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,1/17/2024,343.5,875000,0.0072,13
ICICI Group,Pricol Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,1/17/2024,343.5,1750000,0.0144,13
Nomura India Investment Fund Mother Fund,Pricol Ltd.,TNTBC AS THE TRUSTEE OF NOMURA INDIA STOCK MOTHER FUND,NSE,Bulk,Purchase,1/17/2024,343.5,3097900,0.0254,13
Nomura India Investment Fund Mother Fund,Pricol Ltd.,TNTBC AS THE TRUSTEE OF NOMURA INDIA STOCK MOTHER FUND,NSE,Block,Purchase,1/17/2024,343.5,3097900,0.0254,13
Goldman Sachs India Limited,Pricol Ltd.,GOLDMAN SACHS INDIA LIMITED,NSE,Bulk,Purchase,1/17/2024,343.5,1490024,0.0122,13
Goldman Sachs India Limited,Pricol Ltd.,GOLDMAN SACHS INDIA LIMITED,NSE,Block,Purchase,1/17/2024,343.5,1490024,0.0122,13
